key;3;1;100
key;5;1;200
key;1;10;300
key;10;1;400
key;10;5;500
wall;1;3;0
wall;1;4;0
wall;2;6;0
wall;2;7;0
wall;2;8;0
wall;2;9;0
wall;2;10;0
wall;3;4;0
wall;3;6;0
wall;3;9;0
wall;3;10;0
wall;4;4;0
wall;4;6;0
wall;4;9;0
wall;4;10;0
wall;4;1;0
wall;4;2;0
wall;4;8;0
wall;5;4;0
wall;5;6;0
wall;5;9;0
wall;5;10;0
wall;6;1;0
wall;6;2;0
wall;6;4;0
wall;6;6;0
wall;6;9;0
wall;6;10;0
wall;7;4;0
wall;7;6;0
wall;7;9;0
wall;7;10;0
wall;8;8;0
wall;8;9;0
wall;8;10;0
wall;9;4;0
wall;9;6;0
wall;9;8;0
wall;9;9;0
wall;9;10;0
wall;10;4;0
wall;10;6;0
barricade;1;2;600
barricade;1;9;200
barricade;2;2;100
barricade;2;3;100
barricade;3;2;80
barricade;3;3;100
barricade;3;5;200
barricade;5;5;500
barricade;6;3;500
barricade;8;1;300
barricade;8;2;400
barricade;9;2;400
barricade;10;2;400
barricade;10;8;600
endtile;10;10;0
