key;7;10;100
key;10;8;200
key;10;6;300
wall;1;2;0
wall;1;3;0
wall;1;4;0
wall;1;5;0
wall;1;6;0
wall;1;7;0
wall;1;8;0
wall;1;9;0
wall;1;10;0
wall;2;5;0
wall;3;1;0
wall;3;3;0
wall;3;5;0
wall;3;7;0
wall;3;9;0
wall;4;1;0
wall;4;3;0
wall;4;7;0
wall;4;9;0
wall;5;2;0
wall;5;3;0
wall;5;5;0
wall;5;6;0
wall;5;7;0
wall;5;9;0
wall;6;2;0
wall;6;3;0
wall;6;7;0
wall;6;9;0
wall;7;2;0
wall;7;3;0
wall;7;5;0
wall;7;9;0
wall;8;3;0
wall;8;7;0
wall;8;9;0
wall;9;1;0
wall;9;3;0
wall;9;7;0
wall;9;9;0
wall;10;1;0
wall;10;9;0
wall;10;7;0
barricade;2;2;300
barricade;2;3;300
barricade;2;7;200
barricade;2;9;100
barricade;3;2;300
barricade;4;6;200
barricade;5;4;200
barricade;5;8;100
barricade;6;1;303
barricade;6;5;300
barricade;6;6;200
barricade;7;1;300
barricade;7;6;200
barricade;7;7;200
barricade;8;5;100
barricade;8;6;200
barricade;9;4;200
barricade;9;5;300
barricade;9;6;300
endtile;1;1;0
