barricade;3;1;100
barricade;4;1;100
barricade;5;1;89
barricade;6;1;100
barricade;7;1;100
barricade;8;1;100
barricade;9;1;23
barricade;10;1;42
barricade;3;2;90
barricade;3;3;80
barricade;4;4;800
barricade;5;4;303
barricade;6;4;200
barricade;7;4;100
barricade;8;4;200
barricade;9;4;550
barricade;10;4;100
barricade;8;5;110
barricade;10;5;100
barricade;7;6;300
barricade;8;6;250
barricade;9;6;330
barricade;5;7;300
barricade;9;7;303
barricade;10;7;480
barricade;8;8;400
barricade;8;9;900
barricade;9;9;500
barricade;10;9;400
barricade;5;10;400
barricade;8;10;800
barricade;9;10;600
endtile;10;10;0
key;1;5;100
key;2;7;300
key;4;9;400
key;10;6;200
wall;3;4;0
wall;3;5;0
wall;3;6;0
wall;3;7;0
wall;3;8;0
wall;3;9;0
wall;3;10;0
wall;4;6;0
wall;5;6;0
wall;6;6;0
wall;5;8;0
wall;6;8;0
wall;5;9;0
wall;6;9;0
wall;7;2;0
wall;7;3;0
barricade;7;8;400
